city_id,city,country,date_time,latitude,longitude,temperature (F),humidity (%),cloudiness (%),wind speed (mph)
3833367,Ushuaia,AR,1597379478,-54.8,-68.3,30.2,92,75,5.82
2264557,Ponta do Sol,PT,1597379675,32.67,-17.1,71.6,68,40,11.41
3691582,Talara,PE,1597379656,-4.58,-81.27,63.45,87,64,14.47
3672290,Piedras,CO,1597380065,4.54,-74.88,77.0,74,100,0.6
964712,Plettenberg Bay,ZA,1597380065,-34.05,23.37,49.98,74,2,4.72
7281807,Seddon,AU,1597380065,-37.81,144.89,61.0,93,90,2.24
5557293,Sitka,US,1597379660,57.05,-135.33,57.2,71,90,3.36
4030556,Rikitea,PF,1597379646,-23.12,-134.97,70.43,68,0,9.48
3372745,Rabo de Peixe,PT,1597380066,37.8,-25.58,69.8,83,75,1.12
3424607,Tasiilaq,GL,1597380039,65.61,-37.64,44.6,42,0,14.99
5122534,Jamestown,US,1597379646,42.1,-79.24,71.6,56,1,10.29
3366880,Hermanus,ZA,1597379648,-34.42,19.23,39.0,95,3,9.93
1684245,Tagusao,PH,1597380066,9.19,117.81,84.72,67,28,5.26
5855927,Hilo,US,1597379412,19.73,-155.09,80.6,69,90,5.82
6170031,Tuktoyaktuk,CA,1597379656,69.45,-133.04,51.8,76,75,6.93
6165406,Thompson,CA,1597379697,55.74,-97.86,57.2,100,75,2.24
5848280,Kapaa,US,1597379660,22.08,-159.32,82.4,69,20,12.75
3174050,Province of Mantua,IT,1597380067,45.17,10.78,71.01,89,0,1.99
3356832,Henties Bay,NA,1597380067,-22.12,14.28,53.01,95,0,3.0
5880054,Barrow,US,1597379808,71.29,-156.79,46.4,87,75,11.41
6355222,Yulara,AU,1597379669,-25.24,130.99,69.8,26,0,5.82
934322,Mahébourg,MU,1597379666,-20.41,57.7,69.8,83,40,5.82
546105,Nikolskoye,RU,1597379661,59.7,30.79,55.99,71,25,2.3
547871,Kizema,RU,1597380068,61.11,44.83,55.22,67,48,2.33
3471451,Arraial do Cabo,BR,1597380068,-22.97,-42.03,71.47,86,0,24.16
4032243,Vaini,TO,1597379649,-21.2,-175.2,73.4,88,75,12.75
